type,topAdDesktop,topAdMobile,topAdMobileSize,onVideo,rightVideoAd,rightAd,bottomBannerAd,bottomBannerAdMobile,bottomBannerAdMobileSize,videoAdDuration,allow
local,Tapmad_LB_BTF,MB320x100MSPP,"320,100",https://pubads.g.doubleclick.net/gampad/live/ads?iu=/28379801/Tapmad_PreRoll_Website&description_url=[placeholder]&tfcd=0&npa=0&sz=640x480&gdfp_req=1&output=vast&unviewed_position_start=1&env=vp&correlator=[placeholder]&vpmute=1&vpa=auto&vpos=preroll,https://pubads.g.doubleclick.net/gampad/live/ads?iu=/28379801/Tapmad_MREC1_Video_Website&description_url=[placeholder]&tfcd=0&npa=0&sz=640x480&gdfp_req=1&output=vast&unviewed_position_start=1&env=vp&correlator=[placeholder]&vpmute=1&vpa=auto&url=https%3A%2F%2Fwww.tapmad.com&vpos=preroll,Desktop_MREC,Tapmad_SLB_Desktop_PP,MobileBannerFeatured,"320,50",1,true
international,Tapmad_LB_BTF,MWBanner320x50,"320,100",https://pubads.g.doubleclick.net/gampad/live/ads?iu=/28379801/Tapmad_PreRoll_Website&description_url=https%3A%2F%2Fwww.tapmad.com&tfcd=0&npa=0&sz=640x480&cmsid=[placeholder]&vid=[placeholder]&gdfp_req=1&output=vast&unviewed_position_start=1&env=vp&impl=s&correlator=&vad_type=linear,https://pubads.g.doubleclick.net/gampad/live/ads?iu=/28379801/Tapmad_MREC1_Video_Website&description_url=[placeholder]&tfcd=0&npa=0&sz=640x480&gdfp_req=1&output=vast&unviewed_position_start=1&env=vp&correlator=[placeholder]&nofb=1&vpmute=1&vpa=auto&url=https%3A%2F%2Fwww.tapmad.com&vpos=preroll,Desktop_MREC,Tapmad_SLB_Desktop_PP,MobileBannerFeatured,"320,50",1,true
